Duration (in seconds),RecordedDate,ResponseId,Q_sandwich_1,Q_sandwich_2,Q_sandwich_3,Q_sandwich_4,Q_sandwich_5,Q_sandwich_1_labeled,Q_sandwich_2_labeled,Q_sandwich_3_labeled,Q_sandwich_4_labeled,Q_sandwich_5_labeled,Q_current_hunger,Q_priorities_1,Q_priorities_2,Q_priorities_3,Q_priorities_4,Q_priorities_5,Q_special_diet,Q_special_diet_6_TEXT,Q_past_vegetarian,Q_past_vegan,Q_vegetarian_not_me,Q_vegan_not_me,Q_good_for_env,Q_how_important_env,Q_politics,Q_US_state,Q_live_urban,Q_work_urban,Q_work_urban_3_TEXT,Q_demos_age,Q_demos_gender,Q_demos_income,Q_demos_race,Q_comments,STUDY_ID,treatment
185,2022-06-28 11:47:50,R_Uyza5SG6tc4LtTP,0,1,0,0,0,,,,,,2,5,3,1,4,2,7,,7,7,3,3,1,3,3,38,2,2,,2,2,3,2,,62bb1ba7f2c710e36fd2c1bf,unlabeled
116,2022-06-28 11:49:44,R_1OpYKYPm3UAzlrL,1,1,0,0,0,,,,,,4,1,4,2,3,5,7,,4,6,5,5,1,4,1,20,2,1,,4,2,5,1,,62bb1ba7f2c710e36fd2c1bf,unlabeled
117,2022-06-28 11:50:36,R_2XmR5Ej627Cgb3s,,,,,,0,1,0,1,0,3,3,2,1,5,4,7,,4,7,4,3,2,5,1,22,1,1,,3,2,5,1,,62bb1ba7f2c710e36fd2c1bf,labeled
226,2022-06-28 11:59:15,R_AmtAiSauEnGNPmF,0,0,0,1,0,,,,,,4,1,2,3,4,5,7,,4,5,5,5,1,5,3,7,2,2,,3,1,7,1,,62bb1ba7f2c710e36fd2c1be,unlabeled
302,2022-06-28 12:00:26,R_w7y1AdRcR1tihk5,,,,,,0,0,0,1,0,3,2,5,1,3,4,7,,3,5,4,4,3,4,5,22,1,2,,5,2,1,1,thanks,62bb1ba7f2c710e36fd2c1bf,labeled
142,2022-06-28 12:00:44,R_2SBRYwpKhJ8WItF,,,,,,0,0,0,0,0,2,3,2,1,5,4,7,,7,7,5,4,1,5,4,41,2,1,,4,1,3,1,:),62bb1ba7f2c710e36fd2c1be,labeled
105,2022-06-28 12:03:19,R_6nAnN4aW188MbS1,0,0,1,1,0,,,,,,1,1,5,2,3,4,7,,3,4,4,2,2,5,1,22,2,2,,4,1,3,1,,62bb1ba7f2c710e36fd2c1be,unlabeled
199,2022-06-28 12:04:43,R_Zgetfmg039ZcVY5,0,0,0,1,1,,,,,,1,3,5,1,4,2,7,,7,7,4,4,2,4,2,30,3,2,,5,2,4,1,,62bb1ba7f2c710e36fd2c1bf,unlabeled
167,2022-06-28 12:05:25,R_3EM5SdwWTWoKXBo,,,,,,0,0,0,0,0,2,3,2,1,4,5,7,,7,7,5,3,2,5,3,22,1,1,,4,1,6,1,No comments ,62bb1ba7f2c710e36fd2c1be,labeled
312,2022-06-28 12:06:34,R_1NDtg5ji2vmSJfK,,,,,,1,1,1,1,1,3,2,3,5,4,1,5,,0,0,5,5,1,5,3,7,2,2,,4,1,4,"1,2,4",,62bb1ba7f2c710e36fd2c1be,labeled
220,2022-06-28 12:09:32,R_1rv9UmWM3WQkh2l,0,1,1,1,1,,,,,,3,3,5,1,2,4,7,,5,7,3,2,3,2,3,22,2,2,,3,2,2,1,,62bb1ba7f2c710e36fd2c1bf,unlabeled
164,2022-06-28 12:11:05,R_2cnKtm4qGv1cfn9,,,,,,1,1,0,1,1,1,1,4,3,5,2,7,,1,2,5,4,1,5,1,22,2,3,,7,2,2,1,,62bb1ba7f2c710e36fd2c1bf,labeled
323,2022-06-28 12:19:10,R_3rUGaxlznMMKIOn,1,0,0,1,0,,,,,,3,5,2,1,4,3,7,,4,7,3,2,3,4,3,7,2,2,,3,2,7,7,,62bb1ba7f2c710e36fd2c1bf,unlabeled
184,2022-06-28 12:20:21,R_1gFwn7NV61wxm6w,1,1,0,0,0,,,,,,3,5,2,1,4,3,7,,3,3,5,3,2,4,3,22,2,1,,3,2,6,1,,62bb1ba7f2c710e36fd2c1bf,unlabeled
104,2022-06-28 12:22:30,R_ymtXpgIdf7a9J8B,,,,,,1,0,0,0,0,1,4,2,1,3,5,7,,4,7,2,2,3,3,2,30,3,2,,3,2,3,1,,62bb1ba7f2c710e36fd2c1bf,labeled
175,2022-06-28 12:25:38,R_1IMBoHjUKATEd7G,0,0,1,1,1,,,,,,2,5,3,1,4,2,7,,7,7,1,1,3,4,3,22,2,3,Retired,7,1,3,1,"You should have option for neither on leaning toward Democratic or republican, I am politically neutral. ",62bb1ba7f2c710e36fd2c1be,unlabeled
165,2022-06-28 12:26:24,R_3ht3cV7i6FUVnn0,,,,,,0,0,0,0,0,3,3,2,4,5,1,7,,5,1,2,2,2,5,2,22,1,2,,3,1,2,1,,62bb1ba7f2c710e36fd2c1be,labeled
110,2022-06-28 12:28:32,R_2c8wEghupIWaPz2,,,,,,0,1,1,0,1,2,4,2,1,3,5,7,,7,7,4,4,2,4,3,22,2,2,,4,2,4,1,,62bb1ba7f2c710e36fd2c1bf,labeled
194,2022-06-28 12:34:24,R_2QLOgQ2u7GtKixy,,,,,,1,0,0,0,0,2,2,3,1,5,4,7,,7,7,4,3,3,3,5,22,2,2,,3,1,6,1,,62bb1ba7f2c710e36fd2c1be,labeled
260,2022-06-28 12:34:30,R_3nOzPiRZYbhmkkZ,0,0,0,1,1,,,,,,4,3,4,2,1,5,7,,7,7,4,4,2,4,3,22,1,2,,4,1,6,1,,62bb1ba7f2c710e36fd2c1be,unlabeled
180,2022-06-28 12:43:26,R_6LrdGfdSozTEVnX,0,0,1,0,1,,,,,,2,2,3,1,5,4,7,,5,7,3,2,2,3,3,22,3,2,,6,2,2,1,,62bb1ba7f2c710e36fd2c1bf,unlabeled
182,2022-06-28 12:44:13,R_1K2PRZ5kiXV0gsk,,,,,,0,0,0,1,0,4,4,2,1,3,5,7,,7,7,4,4,1,4,3,22,1,1,,2,2,1,4,,62bb1ba7f2c710e36fd2c1bf,labeled
113,2022-06-28 12:53:36,R_VUO0vAwA9sYHTep,,,,,,1,0,1,1,0,1,3,2,1,4,5,7,,7,7,5,5,2,4,3,22,3,2,,2,2,5,1,,62bb1ba7f2c710e36fd2c1bf,labeled
236,2022-06-28 12:55:31,R_3m4WYGdnInrqkZd,1,0,1,0,1,,,,,,2,2,3,1,5,4,7,,7,7,4,4,2,4,3,22,2,2,,2,1,6,4,,62bb1ba7f2c710e36fd2c1be,unlabeled
1439,2022-06-28 13:02:46,R_3ikGqP0IjEUF9kX,1,0,0,1,0,,,,,,2,4,2,3,5,1,7,,5,5,3,3,2,2,3,7,2,2,,4,1,4,1,,62bb1ba7f2c710e36fd2c1be,unlabeled
539,2022-06-28 13:02:59,R_2xW9wczw9OxRhoD,,,,,,0,0,0,0,0,4,5,3,1,4,2,7,,7,7,3,2,4,4,3,22,2,1,,3,2,2,1,,62bb1ba7f2c710e36fd2c1bf,labeled
134,2022-06-28 13:04:31,R_2ZZEFVBrmHgR6n1,0,1,0,0,1,,,,,,3,4,3,1,5,2,6,lactose free,7,7,4,4,2,4,2,22,1,1,,5,1,4,1,,62bb1ba7f2c710e36fd2c1be,unlabeled
144,2022-06-28 13:07:13,R_OqJUZThtfPMKVOh,0,0,0,1,1,,,,,,3,5,2,1,4,3,7,,7,7,4,4,2,4,1,7,2,1,,4,2,3,1,,62bb1ba7f2c710e36fd2c1bf,unlabeled
197,2022-06-28 13:07:38,R_3KZJT1lwnYdMRet,,,,,,1,1,1,0,0,4,2,4,1,3,5,7,,4,7,4,3,2,4,3,5,2,2,,3,1,6,4,,62bb1ba7f2c710e36fd2c1be,labeled
102,2022-06-28 13:08:40,R_2ZEqqQ8I0wjqUD9,,,,,,0,1,0,0,0,2,5,2,1,4,3,7,,4,7,3,2,2,4,2,7,2,2,,3,2,3,1,,62bb1ba7f2c710e36fd2c1bf,labeled
159,2022-06-28 13:14:08,R_3Do8NVzBxkXcEr1,1,0,1,0,0,,,,,,3,4,3,1,2,5,7,,4,7,4,4,2,4,2,22,1,2,,3,2,2,1,,62bb1ba7f2c710e36fd2c1bf,unlabeled
134,2022-06-28 13:14:52,R_1erxzxxDxVFbdhm,1,1,0,1,1,,,,,,2,1,3,2,4,5,"3,5",,0,1,5,5,1,5,1,20,2,2,,4,2,1,1,,62bb1ba7f2c710e36fd2c1bf,unlabeled
183,2022-06-28 13:15:21,R_3rNFh89xmyjN6H3,,,,,,1,0,0,1,0,3,3,2,1,4,5,7,,7,7,5,5,1,5,2,22,1,1,,3,2,6,1,,62bb1ba7f2c710e36fd2c1bf,labeled
151,2022-06-28 13:16:41,R_2c56tkH0lkGeJB0,1,1,1,0,1,,,,,,2,5,2,1,3,4,7,,4,6,4,4,2,4,4,30,1,2,,3,2,4,1,,62bb1ba7f2c710e36fd2c1bf,unlabeled
83,2022-06-28 13:28:07,R_1GJIMLWlJ51wxnz,,,,,,1,1,1,1,1,1,4,5,3,2,1,5,,0,0,5,5,1,5,2,30,2,2,,2,2,6,1,,62bb1ba7f2c710e36fd2c1bf,labeled
116,2022-06-28 13:31:48,R_24xgXyO7pf9dug9,1,0,1,0,1,,,,,,1,5,3,1,2,4,7,,7,7,4,4,3,3,2,22,2,2,,2,1,2,4,,62bb1ba7f2c710e36fd2c1be,unlabeled
217,2022-06-28 13:33:05,R_3IPH84QzuW3jdZv,1,1,0,0,1,,,,,,2,3,2,1,4,5,7,,5,7,4,4,3,4,1,22,2,1,,3,2,4,1,,62bb1ba7f2c710e36fd2c1bf,unlabeled
378,2022-06-28 13:34:30,R_elcnGwIpBBqGn73,,,,,,1,0,0,1,0,2,3,2,4,5,1,7,,3,5,4,4,2,3,1,7,2,2,,3,2,5,2,,62bb1ba7f2c710e36fd2c1bf,labeled
343,2022-06-28 13:35:38,R_bQ8cEoqsq3kdXnb,,,,,,0,1,0,0,0,2,1,4,2,3,5,7,,4,6,3,2,2,3,3,22,2,2,,3,1,3,1,,62bb1ba7f2c710e36fd2c1be,labeled
278,2022-06-28 13:37:22,R_28UNDmGCYcCVrn8,0,0,0,0,0,,,,,,1,3,2,1,4,5,7,,4,7,4,4,2,5,1,30,2,1,,3,2,3,"1,3",,62bb1ba7f2c710e36fd2c1bf,unlabeled
126,2022-06-28 13:40:33,R_210ceSGSkquWmWJ,,,,,,0,0,0,0,1,3,4,2,3,5,1,7,,7,7,3,3,3,3,2,22,2,2,,2,1,5,4,,62bb1ba7f2c710e36fd2c1be,labeled
280,2022-06-28 13:40:41,R_R2kK4V0mrzVU5dn,,,,,,0,0,0,0,1,3,4,5,1,3,2,7,,7,7,3,3,2,4,3,22,2,2,,3,2,3,1,"Roasted Attention Check was hilarious, thank you for the laugh and the food related study!",62bb1ba7f2c710e36fd2c1bf,labeled
133,2022-06-28 13:42:20,R_3QK0MZLxubls0jq,1,0,1,0,0,,,,,,3,3,5,1,2,4,7,,4,7,4,3,2,4,3,47,1,1,,3,1,4,1,,62bb1ba7f2c710e36fd2c1be,unlabeled
271,2022-06-28 13:42:40,R_1rjfMCE36BveJbP,1,1,0,1,1,,,,,,1,1,3,2,4,5,3,,3,2,1,2,1,5,2,5,1,1,,3,1,5,2,,62bb1ba7f2c710e36fd2c1be,unlabeled
174,2022-06-28 13:47:37,R_2VIpgwEVGubYPTq,,,,,,0,0,0,0,1,2,5,2,3,4,1,7,,0,7,3,3,3,5,1,20,2,2,,4,1,1,1,,62bb1ba7f2c710e36fd2c1be,labeled
183,2022-06-28 13:52:26,R_2aJEFSHzVbaSXc3,0,0,1,0,1,,,,,,3,2,3,1,4,5,4,,7,7,4,1,2,5,2,22,1,1,,3,2,1,1,,62bb1ba7f2c710e36fd2c1bf,unlabeled
114,2022-06-28 13:55:14,R_2wQuQVce1WEpyfY,,,,,,0,0,1,1,0,4,4,3,2,5,1,7,,4,7,5,5,1,5,4,22,1,1,,2,2,5,1,,62bb1ba7f2c710e36fd2c1bf,labeled
188,2022-06-28 13:57:34,R_1GQDJKUai6PGig4,1,1,0,1,0,,,,,,1,4,3,1,2,5,3,,0,7,5,4,3,5,1,22,1,1,,3,2,1,1,,62bb1ba7f2c710e36fd2c1bf,unlabeled
389,2022-06-28 13:59:40,R_23e0MBRfp0dkBMb,,,,,,1,1,1,1,1,3,3,1,2,4,5,7,,4,6,5,5,2,4,3,22,2,2,,6,1,4,1,,62bb1ba7f2c710e36fd2c1be,labeled
205,2022-06-28 13:59:54,R_3HjDpUACHr9XBKJ,,,,,,1,1,0,1,0,2,1,4,2,3,5,7,,7,7,4,2,3,3,4,41,2,2,,4,2,3,1,,62bb1ba7f2c710e36fd2c1bf,labeled
189,2022-06-28 14:00:23,R_24Mh9grl5kdYctI,,,,,,1,1,1,0,0,2,4,2,1,5,3,7,,5,7,4,4,1,5,3,7,2,2,,2,2,4,1,,62bb1ba7f2c710e36fd2c1bf,labeled
247,2022-06-28 14:00:52,R_3KMUW0ptKYBzDdV,1,1,0,0,0,,,,,,3,5,2,3,4,1,7,,1,1,4,4,2,5,6,41,2,2,,5,1,7,1,,62bb1ba7f2c710e36fd2c1be,unlabeled
217,2022-06-28 14:01:58,R_25Ax4dNYEYtXObb,1,1,0,1,1,,,,,,3,1,2,3,4,5,7,,4,7,5,5,2,5,1,22,2,2,,6,2,1,1,,62bb1ba7f2c710e36fd2c1bf,unlabeled
172,2022-06-28 14:05:02,R_3lFTBkSzmCGczHc,1,0,1,0,0,,,,,,2,4,3,1,2,5,7,,7,7,4,4,2,5,3,22,3,2,,4,1,6,1,,62bb1ba7f2c710e36fd2c1be,unlabeled
172,2022-06-28 14:20:21,R_2aFF312sk7jx4CL,,,,,,0,0,0,1,1,3,1,4,5,2,3,7,,7,7,4,4,1,4,2,7,2,2,,5,2,3,2,no,62bb1ba7f2c710e36fd2c1bf,labeled
193,2022-06-28 14:24:50,R_2VL4LXIRn4saT9e,1,1,0,0,1,,,,,,2,5,3,1,4,2,7,,7,7,4,4,1,1,2,30,3,2,,2,2,4,1,,62bb1ba7f2c710e36fd2c1bf,unlabeled
135,2022-06-28 14:29:50,R_xtOkS2mrP4P2UYV,,,,,,1,1,0,1,0,3,4,1,3,2,5,3,,0,4,5,5,1,5,2,22,1,1,,3,3,2,1,,62bb1ba7f2c710e36fd2c1bf,labeled
233,2022-06-28 14:30:11,R_3NOmURonFigKBNx,,,,,,0,0,0,0,0,3,3,5,1,4,2,7,,7,7,4,2,2,4,2,7,3,2,,2,2,3,1,,62bb1ba7f2c710e36fd2c1bf,labeled
342,2022-06-28 14:32:15,R_3KMxzVTmzGF4BDV,0,0,0,1,0,,,,,,1,3,4,1,5,2,7,,7,7,2,2,3,3,4,22,3,2,,5,2,5,1,"The majority of the menu choices you provided, I would not have chosen either option. ",62bb1ba7f2c710e36fd2c1bf,unlabeled
187,2022-06-28 14:40:41,R_1jOq3JOQdybrPul,,,,,,0,0,1,1,0,2,2,5,1,3,4,7,,5,7,4,4,3,3,4,45,2,1,,3,1,3,1,Thank you for allowing me to participate. ,62bb1ba7f2c710e36fd2c1be,labeled
252,2022-06-28 14:42:53,R_1NyKaIwhdDrENZQ,1,0,1,1,1,,,,,,3,2,4,1,5,3,7,,5,7,4,4,1,5,2,22,2,2,,2,2,4,1,,62bb1ba7f2c710e36fd2c1bf,unlabeled
203,2022-06-28 14:56:00,R_2wyiBTpWlYxroDr,,,,,,0,0,0,0,0,2,3,2,1,4,5,7,,7,7,4,4,3,4,4,22,2,1,,4,1,4,1,,62bb1ba7f2c710e36fd2c1be,labeled
199,2022-06-28 15:05:10,R_3kdIgGBW7EZcP49,1,1,0,1,1,,,,,,3,2,4,1,3,5,3,,0,7,5,5,2,5,1,22,2,2,,3,2,4,1,,62bb1ba7f2c710e36fd2c1bf,unlabeled
375,2022-06-28 15:07:06,R_1C7mfVgt98sYsRM,0,0,0,0,0,,,,,,3,3,2,1,4,5,7,,5,7,5,5,3,5,2,7,1,1,,5,1,4,1,"The attention checks were pretty clever, heheh.",62bb1ba7f2c710e36fd2c1be,unlabeled
193,2022-06-28 15:08:12,R_302J4GGslpqL03B,,,,,,0,1,0,0,0,3,5,2,1,3,4,7,,4,7,4,4,1,5,3,22,2,2,,2,2,6,1,,62bb1ba7f2c710e36fd2c1bf,labeled
246,2022-06-28 15:13:18,R_PRKVpOLYL4vWIa5,1,0,0,0,0,,,,,,3,3,4,2,1,5,7,,5,7,5,3,1,5,2,22,2,2,,2,2,5,1,,62bb1ba7f2c710e36fd2c1bf,unlabeled
132,2022-06-28 15:18:41,R_bk2VsfHHIUKd1mN,0,1,0,1,1,,,,,,3,1,3,2,5,4,7,,5,3,5,5,1,5,3,22,1,1,,6,1,4,1,,62bb1ba7f2c710e36fd2c1be,unlabeled
263,2022-06-28 15:21:11,R_2xVGgmEs2pixqal,,,,,,0,0,0,0,1,4,5,2,1,3,4,7,,5,5,5,2,2,4,3,22,2,1,,3,2,2,1,,62bb1ba7f2c710e36fd2c1bf,labeled
152,2022-06-28 15:22:02,R_6VDJ6egYX4SH9cJ,1,1,1,1,0,,,,,,3,5,2,1,3,4,7,,4,4,5,5,1,4,2,22,1,1,,4,1,4,4,,62bb1ba7f2c710e36fd2c1be,unlabeled
208,2022-06-28 15:25:09,R_2rVoL3gDouSRkTC,,,,,,0,0,0,0,0,3,3,4,1,5,2,7,,7,7,3,2,3,5,2,30,2,1,,6,2,3,1,,62bb1ba7f2c710e36fd2c1bf,labeled
117,2022-06-28 15:29:31,R_1LwFGj4fXjReUDB,,,,,,0,1,0,0,0,3,4,2,1,3,5,7,,7,7,5,5,1,5,2,5,2,2,,3,2,5,7,,62bb1ba7f2c710e36fd2c1bf,labeled
421,2022-06-28 15:33:56,R_3MyXLYThe2H9QoJ,0,0,0,1,0,,,,,,3,5,1,2,3,4,7,,4,7,4,4,2,4,4,7,2,2,,6,1,2,1,I don't enjoy onions.  So many offerings had them.,62bb1ba7f2c710e36fd2c1be,unlabeled
183,2022-06-28 15:35:51,R_1kNU3ye6N14YjBz,1,0,0,1,1,,,,,,2,5,2,1,3,4,3,,1,1,5,2,2,4,2,7,2,2,,3,1,6,4,,62bb1ba7f2c710e36fd2c1be,unlabeled
148,2022-06-28 15:36:52,R_2s0Bl7NbjpvMgl7,,,,,,0,0,0,0,0,2,3,5,1,4,2,7,,7,6,4,4,2,4,2,20,2,1,,5,2,5,1,,62bb1ba7f2c710e36fd2c1bf,labeled
143,2022-06-28 15:46:43,R_26hamGZqCSl9hIV,0,0,0,0,1,,,,,,2,4,1,2,5,3,7,,4,7,3,2,2,4,4,22,3,2,,2,2,6,4,,62bb1ba7f2c710e36fd2c1bf,unlabeled
141,2022-06-28 15:55:00,R_1QFKspare2p1Hvc,1,0,0,0,0,,,,,,3,3,4,1,5,2,2,,7,3,5,5,2,5,1,22,1,1,,3,2,4,1,,62bb1ba7f2c710e36fd2c1bf,unlabeled
183,2022-06-28 15:55:03,R_AhQ4sXPVqqLaUhz,,,,,,1,1,1,0,1,2,2,4,1,5,3,6,pescetarian,2,2,5,5,2,5,1,22,2,2,,6,2,6,1,,62bb1ba7f2c710e36fd2c1bf,labeled
243,2022-06-28 15:58:59,R_3CB0lmrIVey20zc,,,,,,0,0,0,0,0,2,3,2,1,5,4,7,,4,5,4,4,2,5,1,22,1,2,,2,2,1,"1,4",,62bb1ba7f2c710e36fd2c1bf,labeled
199,2022-06-28 16:03:40,R_3EPSaKrZmtWmJmh,0,0,0,1,1,,,,,,2,4,1,2,3,5,7,,4,7,4,4,2,4,2,22,2,1,,3,1,5,6,,62bb1ba7f2c710e36fd2c1be,unlabeled
180,2022-06-28 16:04:20,R_OO0SFY2bAhumoaB,,,,,,0,0,0,0,0,4,5,1,3,4,2,7,,7,7,3,3,1,5,3,7,2,2,,4,2,1,1,no comments thanks for asking though ;),62bb1ba7f2c710e36fd2c1bf,labeled
139,2022-06-28 16:06:15,R_1g6Xd37cGpVW1wG,1,1,0,0,0,,,,,,3,4,2,1,3,5,3,,0,4,5,5,1,5,1,41,2,2,,2,2,4,1,,62bb1ba7f2c710e36fd2c1bf,unlabeled
183,2022-06-28 16:09:37,R_29rUQWGI1wDRAEg,,,,,,0,0,0,0,0,1,3,4,1,2,5,7,,7,7,4,2,1,4,1,20,2,2,,4,2,5,1,,62bb1ba7f2c710e36fd2c1bf,labeled
272,2022-06-28 16:10:16,R_V2WRV57rUvchVjH,,,,,,1,1,0,1,1,3,2,3,1,5,4,3,,0,4,5,5,1,5,2,47,3,3,I work at home,6,2,4,1,,62bb1ba7f2c710e36fd2c1bf,labeled
133,2022-06-28 16:13:03,R_A1EFd77GNNm8Ti9,0,0,1,1,0,,,,,,3,4,5,1,2,3,7,,4,4,4,4,2,4,4,20,3,1,,2,1,1,1,,62bb1ba7f2c710e36fd2c1be,unlabeled
179,2022-06-28 16:13:37,R_3ir0qk8763WHsxY,0,0,0,0,0,,,,,,4,3,2,1,4,5,7,,5,7,4,4,2,4,1,47,1,1,,2,2,3,1,,62bb1ba7f2c710e36fd2c1bf,unlabeled
152,2022-06-28 16:17:16,R_DcSIQLlsdu5AtGN,,,,,,0,0,1,0,0,3,3,4,1,5,2,7,,4,6,4,4,1,4,2,30,1,1,,6,2,4,1,,62bb1ba7f2c710e36fd2c1bf,labeled
227,2022-06-28 16:18:29,R_3O6QbjoLHAPM4AF,0,0,0,1,0,,,,,,2,5,1,3,2,4,7,,7,7,2,2,2,4,2,22,2,2,,3,1,2,4,,62bb1ba7f2c710e36fd2c1be,unlabeled
155,2022-06-28 16:27:59,R_25ABNzQg8AtQqx0,,,,,,0,1,0,1,1,2,5,2,1,4,3,7,,3,4,4,2,2,4,5,7,2,2,,5,2,2,1,,62bb1ba7f2c710e36fd2c1bf,labeled
202,2022-06-28 16:28:05,R_26o15HGf5whGirU,1,0,0,0,0,,,,,,2,5,2,1,4,3,7,,7,7,1,1,2,5,2,20,3,2,,2,2,4,1,,62bb1ba7f2c710e36fd2c1bf,unlabeled
322,2022-06-28 16:28:38,R_Wpzdhb3596rrthn,,,,,,0,0,0,0,0,2,5,3,1,2,4,7,,4,7,3,3,4,2,4,22,2,2,,7,1,3,1,,62bb1ba7f2c710e36fd2c1be,labeled
180,2022-06-28 16:33:01,R_REQ5e3dbS53Wezf,1,1,0,1,0,,,,,,2,4,3,1,5,2,3,,0,7,5,4,2,4,2,22,1,1,,3,2,4,1,,62bb1ba7f2c710e36fd2c1bf,unlabeled
259,2022-06-28 16:34:32,R_2bJYUEoqSm6mfSR,,,,,,0,0,0,0,1,1,4,2,1,5,3,7,,4,7,5,2,3,4,3,22,3,2,,3,2,1,1,,62bb1ba7f2c710e36fd2c1bf,labeled
161,2022-06-28 16:36:38,R_1H5Z5C3XLqy9KhC,,,,,,0,0,0,0,0,4,5,1,2,3,4,7,,5,5,3,3,3,3,2,22,1,1,,3,1,1,2,,62bb1ba7f2c710e36fd2c1be,labeled
164,2022-06-28 16:37:47,R_20NJpdgiBk8w0YJ,,,,,,1,1,1,1,1,3,1,3,2,4,5,7,,4,6,4,2,2,4,3,22,2,2,,5,1,3,2,,62bb1ba7f2c710e36fd2c1be,labeled
237,2022-06-28 16:38:28,R_31RdgKJwQz8M5ym,0,0,1,1,1,,,,,,3,5,4,1,3,2,6,Low Tyramine,5,7,4,4,2,5,3,20,3,2,,5,2,3,1,,62bb1ba7f2c710e36fd2c1bf,unlabeled
665,2022-06-28 16:40:45,R_3QQohcQABk4gLrD,0,0,1,1,1,,,,,,3,3,2,1,5,4,7,,4,7,4,4,1,4,2,20,3,1,,2,2,4,1,,62bb1ba7f2c710e36fd2c1bf,unlabeled
178,2022-06-28 16:43:58,R_3iKFZgrnChbjEC8,1,1,0,0,0,,,,,,2,3,2,1,4,5,7,,2,6,5,5,1,5,1,22,2,2,,2,2,5,1,,62bb1ba7f2c710e36fd2c1bf,unlabeled
291,2022-06-28 16:50:54,R_2TFW5mOTJXbAMxK,,,,,,0,0,0,0,1,2,4,3,1,5,2,7,,4,7,4,4,1,4,2,22,3,1,,2,2,2,"1,2",,62bb1ba7f2c710e36fd2c1bf,labeled
184,2022-06-28 16:55:11,R_2bp1wvVH7pBx0l3,0,0,0,0,0,,,,,,2,5,4,1,3,2,7,,7,7,3,3,3,5,2,22,2,2,,3,1,1,4,thank you.,62bb1ba7f2c710e36fd2c1be,unlabeled
172,2022-06-28 16:56:28,R_3gRSKC6kW4vMWUS,,,,,,0,0,0,0,0,1,3,2,1,5,4,7,,7,7,2,2,2,4,3,22,2,1,,2,1,6,1,,62bb1ba7f2c710e36fd2c1be,labeled
126,2022-06-28 17:04:56,R_2WAVnIvMi80L9lT,,,,,,0,0,0,0,0,2,5,2,1,3,4,7,,4,7,2,1,2,2,4,22,1,1,,4,1,5,1,,62bb1ba7f2c710e36fd2c1be,labeled
123,2022-06-28 17:05:34,R_2qauDA0fHHiUP4z,0,0,0,1,0,,,,,,2,4,5,1,2,3,4,,5,7,5,2,1,5,1,22,1,1,,2,1,2,1,,62bb1ba7f2c710e36fd2c1bf,unlabeled
193,2022-06-28 17:05:51,R_zZplc7FLPv0vFTz,,,,,,1,1,0,1,0,2,1,5,2,3,4,4,,4,4,5,5,1,5,1,23,2,1,,3,2,5,1,,62bb1ba7f2c710e36fd2c1bf,labeled
262,2022-06-28 17:12:18,R_1dslMNJHqldTzld,0,0,0,1,1,,,,,,2,4,3,1,5,2,7,,7,7,2,2,3,4,4,20,3,2,,6,2,3,1,"no,enjoyed the study",62bb1ba7f2c710e36fd2c1bf,unlabeled
731,2022-06-28 17:18:27,R_3D5RBQOIGfbr4Bs,,,,,,0,0,0,0,0,2,4,2,1,5,3,7,,7,7,2,2,4,1,6,22,2,3,,6,2,2,1,,62bb1ba7f2c710e36fd2c1bf,labeled
159,2022-06-28 17:21:21,R_aac53jIVpJFc7xn,0,0,0,0,0,,,,,,2,5,2,1,4,3,7,,5,7,4,4,2,3,3,22,1,1,,2,2,2,1,,62bb1ba7f2c710e36fd2c1bf,unlabeled
357,2022-06-28 17:23:15,R_1IT1lveZgrEc9zE,0,0,1,0,0,,,,,,2,4,3,2,1,5,7,,7,7,3,3,3,5,2,22,2,2,,3,1,3,1,,62bb1ba7f2c710e36fd2c1be,unlabeled
163,2022-06-28 17:32:15,R_2uyAjdE31MJB0Xy,,,,,,0,0,0,0,0,2,3,4,2,5,1,7,,7,7,3,3,3,4,2,7,2,2,,3,2,4,1,,62bb1ba7f2c710e36fd2c1bf,labeled
116,2022-06-28 17:33:19,R_2Eufv4w8EnbLE1i,,,,,,1,0,1,0,1,1,2,4,3,1,5,7,,7,7,5,5,1,4,1,47,3,2,,3,2,3,1,,62bb1ba7f2c710e36fd2c1bf,labeled
398,2022-06-28 17:38:47,R_247YnJdghkeanp1,0,1,0,1,0,,,,,,1,4,1,2,3,5,"1,6",high protein,7,7,4,4,3,4,3,7,3,2,,4,2,4,1,,62bb1ba7f2c710e36fd2c1bf,unlabeled
271,2022-06-28 17:40:51,R_22EvHS7wHfTLAtb,,,,,,0,1,1,1,1,3,3,4,1,2,5,7,,7,7,5,5,1,4,1,30,2,2,,3,2,3,1,,62bb1ba7f2c710e36fd2c1bf,labeled
101,2022-06-28 17:53:31,R_3kps6d9aCKlpZA1,1,1,1,1,1,,,,,,2,3,1,2,4,5,7,,3,7,4,4,1,5,3,22,3,2,,3,1,6,4,,62bb1ba7f2c710e36fd2c1be,unlabeled
142,2022-06-28 17:55:53,R_10rywUcuXvBxLm8,,,,,,0,0,0,1,1,3,2,3,1,4,5,7,,7,7,5,5,1,5,1,22,2,2,,3,2,3,1,,62bb1ba7f2c710e36fd2c1bf,labeled
